OCC2010,remote_occ
10,1
20,1
40,1
50,1
60,1
100,1
110,1
120,1
135,1
136,1
137,1
140,0
150,1
160,1
205,0
220,0
230,1
300,1
310,0
330,0
340,0
350,1
360,1
410,1
420,1
425,0
430,1
500,1
510,1
520,1
530,1
540,1
565,1
600,1
630,1
640,1
650,1
700,1
710,1
725,0
726,0
735,1
740,1
800,1
810,1
820,1
830,1
840,1
850,1
860,1
900,1
910,1
930,0
940,0
950,1
1005,1
1006,1
1007,1
1010,1
1020,1
1030,1
1050,1
1060,1
1105,1
1106,1
1107,1
1200,1
1220,1
1240,1
1300,1
1310,1
1320,1
1340,1
1350,0
1360,1
1400,1
1410,1
1420,1
1430,1
1440,1
1450,0
1460,0
1520,1
1530,0
1540,1
1550,0
1560,1
1600,1
1610,1
1640,0
1650,1
1700,1
1710,1
1720,0
1740,1
1760,1
1800,1
1820,1
1840,0
1860,1
1900,0
1910,0
1920,0
1930,1
1965,0
2000,1
2010,0
2015,1
2016,0
2025,0
2040,1
2050,1
2060,1
2100,1
2105,1
2145,1
2160,1
2200,1
2300,1
2310,1
2320,1
2330,1
2340,1
2400,1
2430,1
2440,1
2540,1
2550,1
2600,1
2630,1
2700,0
2710,0
2720,1
2740,0
2750,1
2760,0
2800,1
2810,1
2825,1
2830,1
2840,1
2850,1
2860,1
2900,1
2910,1
2920,1
3000,0
3010,0
3030,0
3040,0
3050,0
3060,0
3110,0
3120,0
3140,0
3150,0
3160,0
3200,0
3210,1
3220,0
3230,1
3245,0
3250,0
3255,0
3256,0
3258,0
3260,0
3300,0
3310,0
3320,0
3400,0
3420,0
3500,0
3510,1
3520,0
3535,0
3540,0
3600,0
3610,0
3620,0
3630,0
3640,0
3645,0
3646,1
3647,0
3648,0
3649,0
3655,1
3700,0
3710,0
3720,0
3730,0
3740,0
3750,0
3800,0
3820,0
3840,0
3850,0
3900,0
3910,1
3930,1
3940,0
3945,0
3955,1
4000,0
4010,0
4020,0
4030,0
4040,0
4050,0
4060,0
4110,0
4120,0
4130,0
4140,0
4150,0
4200,0
4210,0
4220,0
4230,0
4240,0
4250,0
4300,0
4320,1
4340,0
4350,0
4400,0
4410,0
4420,1
4430,0
4460,0
4465,0
4500,0
4510,0
4520,0
4530,0
4540,0
4600,1
4610,0
4620,1
4640,1
4650,0
4700,0
4710,1
4720,0
4740,0
4750,0
4760,0
4800,0
4810,1
4820,1
4830,0
4840,1
4850,1
4900,1
4920,1
4930,1
4940,1
4950,0
4965,1
5000,1
5010,1
5020,0
5030,0
5100,1
5110,1
5120,1
5130,0
5140,1
5150,1
5160,0
5165,1
5200,1
5220,0
5230,1
5240,1
5250,0
5260,1
5300,0
5310,1
5320,0
5330,0
5340,0
5350,1
5360,1
5400,0
5410,0
5420,0
5500,1
5510,1
5520,1
5530,0
5540,0
5550,0
5560,0
5600,0
5610,0
5620,0
5630,0
5700,1
5800,1
5810,1
5820,1
5840,1
5850,1
5860,1
5900,1
5910,1
5920,1
5940,1
6005,0
6010,0
6040,0
6050,0
6100,0
6120,0
6130,0
6200,0
6210,0
6220,0
6230,0
6240,0
6250,0
6260,0
6300,0
6320,0
6330,0
6355,0
6360,0
6400,0
6420,0
6440,0
6460,0
6515,0
6520,0
6530,0
6600,0
6660,0
6700,0
6710,0
6720,0
6730,0
6740,0
6765,0
6800,0
6820,0
6830,0
6840,0
6940,0
7000,0
7010,0
7020,0
7030,0
7040,0
7100,0
7110,0
7120,0
7130,0
7140,0
7150,0
7160,0
7200,0
7210,0
7220,0
7240,0
7260,0
7300,0
7315,0
7320,0
7330,0
7340,0
7350,0
7360,0
7410,0
7420,0
7430,0
7510,1
7540,0
7560,0
7610,0
7630,0
7700,0
7710,0
7720,0
7730,0
7740,0
7750,0
7800,0
7810,0
7830,0
7840,0
7850,0
7855,0
7900,0
7920,0
7930,0
7940,0
7950,0
8030,0
8040,0
8100,0
8130,0
8140,0
8220,0
8250,1
8255,0
8256,0
8300,0
8310,0
8320,0
8330,0
8350,0
8400,0
8410,0
8420,0
8450,0
8460,0
8500,0
8510,0
8530,0
8540,0
8550,0
8600,0
8610,0
8620,0
8630,0
8640,0
8650,0
8710,0
8720,0
8730,0
8740,0
8750,0
8760,0
8800,0
8810,0
8830,0
8850,0
8910,0
8920,0
8930,0
8940,0
8950,0
8965,0
9000,0
9030,0
9040,1
9050,0
9110,0
9120,0
9130,0
9140,0
9150,0
9200,0
9240,0
9260,0
9300,0
9310,0
9350,0
9360,0
9410,0
9415,0
9420,0
9510,0
9520,0
9560,0
9600,0
9610,0
9620,0
9630,0
9640,0
9650,0
9720,0
9750,0
8230,0
9100,0
2020,0
560,1
1000,1
9810,0
8000,1
3410,0
3530,1
130,1
620,1
8010,0
3950,0
2150,1
1960,0
30,1
3650,0
720,0
9820,0
9800,0
9830,0
1100,1
730,1
2140,1
3130,0
3240,1
1830,0
